"depth" "PotTemperature" "Salinity" "Station"
-2 22.93832 36.39483 "144"
-5 22.9468213333333 36.3931304444444 "144"
-10 23.04151 36.375525 "144"
-30 23.04477 36.375695 "144"
-50 23.041415 36.376235 "144"
-65 23.026745 36.416665 "144"
-80 22.93756 36.45832 "144"
-90 22.890785 36.561285 "144"
-100 22.658195 36.561445 "144"
-120 22.291785 36.58756 "144"
-150 21.739225 36.64225 "144"
-390 17.8468227352941 36.5343513529412 "144"
-398 17.789413 36.525362 "144"
-400 17.7864106666667 36.5258683333333 "144"
-1000 5.742992 35.036892 "144"
-5 13.992855 35.12152 "145"
-10 13.997135 35.122535 "145"
-20 13.999585 35.12346 "145"
-35 14.008825 35.126145 "145"
-50 14.053735 35.14055 "145"
-60 14.080355 35.14961 "145"
-75 14.09859 35.15439 "145"
-110 15.73555 35.978 "145"
-150 13.08522 35.6717 "145"
-200 10.371175 35.325035 "145"
-230 9.622335 35.229305 "145"
-250 8.92681 35.181375 "145"
-400 6.118506 35.047006 "145"
-590 4.95667233333333 34.9635141333333 "145"
-594 4.941694 34.961392 "145"
-600 4.905431 34.956133 "145"
-1034 NA NA "145"
-5 20.1497 36.57475 "147"
-30 20.14595 36.575033 "147"
-50 20.135867 36.574683 "147"
-70 20.124375 36.57445 "147"
-120 20.119767 36.574667 "147"
-180 20.106783 36.574767 "147"
-210 20.036167 36.594217 "147"
-230 19.686658 36.63985 "147"
-240 19.363558 36.652967 "147"
-300 18.448583 36.612583 "147"
-400 18.010133 36.569425 "147"
-978 8.4252 35.1636 "147"
-5 20.47995 36.596745 "148"
-50 20.35045 36.59957 "148"
-120 20.260055 36.60215 "148"
-130 20.20854 36.603755 "148"
-160 19.956885 36.62654 "148"
-170 19.664825 36.648765 "148"
-180 19.321706 36.653375 "148"
-190 19.019269 36.644137 "148"
-200 18.761263 36.628981 "148"
-400 17.630208 36.5116 "148"
-978 NA NA "148"
0 17.625942 36.285292 "150"
-5 17.625942 36.285292 "150"
-20 17.600758 36.285167 "150"
-30 17.594983 36.285083 "150"
-40 17.5786 36.285033 "150"
-50 17.571617 36.284508 "150"
-60 17.535467 36.280475 "150"
-80 17.321492 36.254567 "150"
-90 17.217008 36.259208 "150"
-100 17.098517 36.262425 "150"
-150 16.171742 36.227117 "150"
-400 13.1875 35.756762 "150"
-650 9.755 35.3563 "150"
-979 NA NA "150"
0 17.30208 36.229605 "151"
-5 17.30208 36.229605 "151"
-20 17.28718 36.230875 "151"
-40 17.153965 36.23274 "151"
