"Station" "Latitude" "Longitude" 
143 29.6394 -79.5395
144 36.4121 -72.9289
145 39.2305 -70.0377
146 34.6712 -71.3093 
147 33.061 -66.5435
148 31.6948 -64.2489
149 34.0964 -49.8906
150 35.9346 -37.3032
151 36.1375 -28.935
152 43.6792 -16.8344
155 54.5305 -16.9377
158 67.1675 0.2177
163 76.102 2.0707
168 72.5491 44.0681
173 78.9564 79.4201
175 79.2026 66.4827
178 77.1604 73.2057
180 74.8283 76.2096
188 78.2518 91.8557
189 77.9028 117.1545
191 71.5948 160.9381
193 71.0704 174.9917
194 73.3833 -168.1333
196 71.8895 -154.9101
